"CustomerID","TotalSpend","Segment"
12492,263.21,"Low value"
12493,450.69,"Low value"
12494,1352.85,"Medium value"
12497,1043.1,"Medium value"
12498,403.7,"Low value"
12500,4309.37,"High value"
12501,2249.1,"High value"
12502,3723.87,"High value"
12503,1126,"Medium value"
12504,850.1,"Medium value"
12505,4.5,"Low value"
12506,73.5,"Low value"
12507,1351.56,"Medium value"
12508,398.27,"Low value"
12509,176.5,"Low value"
12510,982.57,"Medium value"
12512,138.03,"Low value"
12513,637.79,"Low value"
12514,1017.68,"Medium value"
12515,383.7,"Low value"
12516,1312.06,"Medium value"
12517,2540.79,"High value"
12518,2056.89,"High value"
12519,340.84,"Low value"
12520,2686.01,"High value"
12521,599.68,"Low value"
12522,192.72,"Low value"
12523,1833.97,"High value"
12524,4485.72,"High value"
12526,1316.66,"Medium value"
12527,348.71,"Low value"
12528,1944.68,"High value"
12530,1700.93,"High value"
12531,125.22,"Low value"
12532,349.83,"Low value"
12534,1089.18,"Medium value"
12535,716.35,"Medium value"
12536,21096.84,"High value"
12538,363.95,"Low value"
12539,7284.2,"High value"
12540,13491.44,"High value"
12541,981.18,"Medium value"
12544,389.7,"Low value"
12545,1000.39,"Medium value"
12546,1181.5,"Medium value"
12547,207.8,"Low value"
12548,95.2,"Low value"
12550,964.83,"Medium value"
12551,168,"Low value"
12552,437.82,"Low value"
12553,3732.31,"High value"
12556,603.71,"Low value"
12557,11990.96,"High value"
12558,539.92,"Low value"
12559,587.21,"Low value"
12560,2166.63,"High value"
12561,238.85,"Low value"
12562,3781.74,"High value"
12564,456.9,"Low value"
12565,160.67,"Low value"
12566,356.6,"Low value"
12567,9687.62,"High value"
12569,4184.39,"High value"
12571,519.61,"Low value"
12572,1036.12,"Medium value"
12573,160.54,"Low value"
12574,218.45,"Low value"
12576,1324.68,"Medium value"
12577,720.2,"Medium value"
12578,2835.66,"High value"
12579,470.12,"Low value"
12580,415.7,"Low value"
12581,197.71,"Low value"
12582,511.36,"Low value"
12583,7375.42,"High value"
12584,2782.35,"High value"
12585,2097.39,"High value"
12586,213.94,"Low value"
12587,144,"Low value"
12588,214.9,"Low value"
12589,646.68,"Low value"
12590,9867.14,"High value"
12591,452.85,"Low value"
12592,437.6,"Low value"
12593,418.1,"Low value"
12594,3356.22,"High value"
12596,618.27,"Low value"
12597,3939.31,"High value"
12598,3043.48,"High value"
12599,1032.58,"Medium value"
12600,2617.04,"High value"
12601,584.56,"Low value"
12602,153.12,"Low value"
12603,739.2,"Medium value"
12604,254.18,"Low value"
12605,7.5,"Low value"
12607,3159.02,"High value"
12609,1126.85,"Medium value"
12610,2141.09,"High value"
12611,1193.32,"Medium value"
12612,764.49,"Medium value"
12613,3469.78,"High value"
12614,315.6,"Low value"
12615,2291.19,"High value"
12616,769.35,"Medium value"
12617,355.53,"Low value"
12618,177.31,"Low value"
12619,4067.67,"High value"
12620,1339.41,"Medium value"
12621,13767.27,"High value"
12622,180.1,"Low value"
12623,305.1,"Low value"
12624,641.13,"Low value"
12625,2753.32,"High value"
12626,6852.61,"High value"
12627,4478.53,"High value"
12628,803.31,"Medium value"
12630,1270.88,"Medium value"
12631,640.5,"Low value"
12633,2187.33,"High value"
12635,1689.18,"Medium value"
12637,6090.55,"High value"
12638,671.69,"Low value"
12639,486.1,"Low value"
12640,1174.58,"Medium value"
12641,185.9,"Low value"
12642,1013.26,"Medium value"
12643,3344.64,"High value"
12644,477.91,"Low value"
12645,1794.98,"High value"
12646,1346.97,"Medium value"
12647,3775.72,"High value"
12648,318.05,"Low value"
12649,643.31,"Low value"
12650,314.44,"Low value"
12651,114,"Low value"
12652,925.43,"Medium value"
12653,2209.85,"High value"
12654,601.98,"Low value"
12656,4119.62,"High value"
12657,2134.3,"High value"
12658,686.05,"Medium value"
12659,91.68,"Low value"
12660,245.1,"Low value"
12662,3882.48,"High value"
12664,4899.88,"High value"
12665,64.25,"Low value"
12666,227.44,"Low value"
12667,620.13,"Low value"
12668,3871.12,"High value"
12669,3880.33,"High value"
12670,3005.95,"High value"
12672,225.9,"Low value"
12673,610.52,"Low value"
12674,2021.89,"High value"
12676,1331.39,"Medium value"
12678,17668.66,"High value"
12679,1167.37,"Medium value"
12680,880.81,"Medium value"
12681,13897.49,"High value"
12682,12288.22,"High value"
12683,8732.05,"High value"
12684,2283.63,"High value"
12685,2863.08,"High value"
12686,89.14,"Low value"
12688,4873.81,"High value"
12689,1247.61,"Medium value"
12690,389.01,"Low value"
12691,1035.8,"Medium value"
12693,880.86,"Medium value"
12694,869.67,"Medium value"
12695,582.1,"Low value"
12697,976.16,"Medium value"
12700,5011.99,"High value"
12701,797.71,"Medium value"
12702,219,"Low value"
12703,292.4,"Low value"
12704,2460.84,"High value"
12705,6922.34,"High value"
12707,603.42,"Low value"
12708,2809.5,"High value"
12709,10178.94,"High value"
12710,1167.47,"Medium value"
12712,4550.63,"High value"
12713,848.55,"Medium value"
12714,4708.86,"High value"
12715,353.86,"Low value"
12716,1053.49,"Medium value"
12717,1080.98,"Medium value"
12718,238.25,"Low value"
12719,681.8,"Medium value"
12720,5850.18,"High value"
12721,2683.28,"High value"
12722,1090.93,"Medium value"
12723,725.07,"Medium value"
12724,1031.41,"Medium value"
12725,427.8,"Low value"
12726,2609.1,"High value"
12727,4013.7,"High value"
12728,836.33,"Medium value"
12729,453.01,"Low value"
12731,18998.41,"High value"
12732,236.26,"Low value"
12733,383.95,"Low value"
12734,110.4,"Low value"
12735,779.57,"Medium value"
12736,234,"Low value"
12738,155.35,"Low value"
12739,1013.04,"Medium value"
12740,427.6,"Low value"
12743,546.43,"Low value"
12744,33438.19,"High value"
12747,4196.01,"High value"
12748,38367.36,"High value"
12749,4313.56,"High value"
12750,275.88,"Low value"
12752,4366.78,"High value"
12753,21834.77,"High value"
12754,3072.36,"High value"
12755,5420.7,"High value"
12756,112.08,"Low value"
12757,11486.5,"High value"
12758,2791.59,"High value"
12759,1531.44,"Medium value"
12762,1898.52,"High value"
12763,494.08,"Low value"
12764,1693.88,"Medium value"
12766,6989.63,"High value"
12769,1143.6,"Medium value"
12770,1351.45,"Medium value"
12772,892.47,"Medium value"
12775,1420.84,"Medium value"
12778,840.23,"Medium value"
12779,4094.02,"High value"
12781,945.76,"Medium value"
12782,2388.52,"High value"
12783,2847.95,"High value"
12784,574.42,"Low value"
12785,318.19,"Low value"
12787,463.66,"Low value"
12789,91.85,"Low value"
12790,324.92,"Low value"
12791,192.6,"Low value"
12792,400.54,"Low value"
12793,545.48,"Low value"
12794,860.41,"Medium value"
12795,430.48,"Low value"
12797,313.88,"Low value"
12798,6977.04,"High value"
12802,442.58,"Low value"
12808,483.65,"Low value"
12809,494.26,"Low value"
12811,514.85,"Low value"
12812,229.64,"Low value"
12814,125.92,"Low value"
12815,1063.46,"Medium value"
12816,572.2,"Low value"
12817,166.04,"Low value"
12818,1566.28,"Medium value"
12820,942.34,"Medium value"
12821,92.72,"Low value"
12822,978.78,"Medium value"
12823,1759.5,"High value"
12824,397.12,"Low value"
12826,1481.32,"Medium value"
12827,430.15,"Low value"
12828,1018.71,"Medium value"
12829,332.95,"Low value"
12830,6880.88,"High value"
12831,215.05,"Low value"
12832,383.03,"Low value"
12833,417.38,"Low value"
12834,312.38,"Low value"
12836,2612.86,"High value"
12837,134.1,"Low value"
12838,683.13,"Medium value"
12839,5599.22,"High value"
12840,2739.27,"High value"
12841,4168.3,"High value"
12842,1118.99,"Medium value"
12843,1723.76,"High value"
12844,325.96,"Low value"
12845,354.09,"Low value"
12847,871.54,"Medium value"
12849,1050.89,"Medium value"
12851,135.18,"Low value"
12852,323.35,"Low value"
12853,2032.5,"High value"
12854,1359.85,"Medium value"
12855,38.1,"Low value"
12856,2197.18,"High value"
12857,1106.4,"Medium value"
12863,538.2,"Low value"
12864,147.12,"Low value"
12865,1588.39,"Medium value"
12866,559.12,"Low value"
12867,4087.42,"High value"
12868,1607.06,"Medium value"
12870,14.9,"Low value"
12871,380.64,"Low value"
12872,599.97,"Low value"
12873,374,"Low value"
12875,343.23,"Low value"
12876,2218.02,"High value"
12877,1535.77,"Medium value"
12878,868.34,"Medium value"
12879,593.87,"Low value"
12881,298,"Low value"
12882,1463.04,"Medium value"
12883,703.47,"Medium value"
12884,309.05,"Low value"
12885,1192.17,"Medium value"
12886,1405.71,"Medium value"
12888,394.47,"Low value"
12890,380.47,"Low value"
12891,331,"Low value"
12893,188.14,"Low value"
12895,398.3,"Low value"
12897,216.5,"Low value"
12901,19015.98,"High value"
12902,138.68,"Low value"
12904,509.58,"Low value"
12906,2919.81,"High value"
12908,1254,"Medium value"
12909,2228.51,"High value"
12910,3075.04,"High value"
12912,1662.3,"Medium value"
12913,2483.63,"High value"
12915,363.65,"Low value"
12916,3029.95,"High value"
12917,594,"Low value"
12919,1368.94,"Medium value"
12920,164.23,"Low value"
12921,16784.44,"High value"
12922,405.38,"Low value"
12923,176.97,"Low value"
12924,937.45,"Medium value"
12925,694.05,"Medium value"
12928,2062.7,"High value"
12929,130.6,"Low value"
12930,421.7,"Low value"
12931,50649.11,"High value"
12933,608.78,"Low value"
12935,2164.95,"High value"
12936,1114.9,"Medium value"
12937,1504.27,"Medium value"
12938,114.14,"Low value"
12939,11581.8,"High value"
12940,950.79,"Medium value"
12942,683.9,"Medium value"
12943,3.75,"Low value"
12944,604.51,"Low value"
12945,462.95,"Low value"
12947,1800.69,"High value"
12948,2076.2,"High value"
12949,4191.42,"High value"
12950,1843,"High value"
12951,1086.07,"Medium value"
12952,1392.74,"Medium value"
12953,329.85,"Low value"
12955,4780.06,"High value"
12956,108.07,"Low value"
12957,4056.04,"High value"
12962,266.39,"Low value"
12963,1872.23,"High value"
12965,771.91,"Medium value"
12966,160.18,"Low value"
12967,2127.05,"High value"
12968,135.95,"Low value"
12970,452.24,"Low value"
12971,11449.56,"High value"
12974,144.8,"Low value"
12976,738.6,"Medium value"
12977,39.24,"Low value"
12980,7657.74,"High value"
12981,372.22,"Low value"
12982,403.88,"Low value"
12984,97.5,"Low value"
12985,1263.14,"Medium value"
12987,572.4,"Low value"
12988,535.32,"Low value"
12989,6993.71,"High value"
12990,409.5,"Low value"
12991,503.76,"Low value"
12993,414.76,"Low value"
12994,1046.62,"Medium value"
12995,221.92,"Low value"
12997,1255.84,"Medium value"
12999,455.88,"Low value"
13000,534.85,"Low value"
13001,9839.72,"High value"
13002,120.95,"Low value"
13003,149.05,"Low value"
13004,5698.39,"High value"
13005,558.45,"Low value"
13006,81.57,"Low value"
13008,280.47,"Low value"
13011,50.55,"Low value"
13012,2012.06,"High value"
13013,4834.89,"High value"
13014,3567.13,"High value"
13015,3346.28,"High value"
13016,789.89,"Medium value"
13017,204,"Low value"
13018,7282.65,"High value"
13021,2648.36,"High value"
13023,689.9,"Medium value"
13026,1014.57,"Medium value"
13027,6912,"High value"
13028,662.96,"Low value"
13029,1247.5,"Medium value"
13030,799.48,"Medium value"
13032,1023.84,"Medium value"
13033,190.55,"Low value"
13034,642.77,"Low value"
13035,957.13,"Medium value"
13037,881.07,"Medium value"
13038,908.46,"Medium value"
13040,676.99,"Low value"
13043,561.27,"Low value"
13044,560.47,"Low value"
13045,305.28,"Low value"
13046,629.31,"Low value"
13047,3395.98,"High value"
13048,1865.91,"High value"
13049,656.68,"Low value"
13050,5989.11,"High value"
13052,348.15,"Low value"
13055,1226.86,"Medium value"
13058,271.4,"Low value"
13059,183.4,"Low value"
13060,307.53,"Low value"
13061,248.61,"Low value"
13062,346.98,"Low value"
13064,1119.49,"Medium value"
13065,205.86,"Low value"
13066,510.7,"Low value"
13067,115.46,"Low value"
13068,344,"Low value"
13069,5154.42,"High value"
13070,228.8,"Low value"
13072,177.15,"Low value"
13075,919.61,"Medium value"
13077,729.27,"Medium value"
13078,12823.6,"High value"
13079,220.1,"Low value"
13080,58.08,"Low value"
13081,28710.28,"High value"
13082,3631.78,"High value"
13083,303.75,"Low value"
13085,559.78,"Low value"
13089,60265.78,"High value"
13090,9132.25,"High value"
13091,371.82,"Low value"
13092,495.83,"Low value"
13093,7923.47,"High value"
13094,2145.78,"High value"
13095,74.4,"Low value"
13097,6127.52,"High value"
13098,29106,"High value"
13099,207.36,"Low value"
13101,101.19,"Low value"
13102,6511.89,"High value"
13103,243.94,"Low value"
13104,1098.48,"Medium value"
13106,93.5,"Low value"
13107,1539.17,"Medium value"
13108,350.06,"Low value"
13109,806.24,"Medium value"
13110,1524.47,"Medium value"
13113,13981.92,"High value"
13115,2383.93,"High value"
13116,517.09,"Low value"
13117,984.91,"Medium value"
13118,1270.62,"Medium value"
13120,30.6,"Low value"
13121,312.73,"Low value"
13122,922.39,"Medium value"
13124,3866.33,"High value"
13126,2142.99,"High value"
13127,259.17,"Low value"
13130,64,"Low value"
13131,1107.3,"Medium value"
13132,77.3,"Low value"
13133,109.8,"Low value"
13134,1846.53,"High value"
13135,3096,"High value"
13136,2669.84,"High value"
13137,3695.74,"High value"
13138,962.39,"Medium value"
13139,5074.09,"High value"
13140,423.72,"Low value"
13141,2391.7,"High value"
13142,307.09,"Low value"
13144,110.95,"Low value"
13145,622.27,"Low value"
13146,228.91,"Low value"
13147,712.8,"Medium value"
13148,4065.76,"High value"
13149,1676.06,"Medium value"
13151,1265.37,"Medium value"
13153,486.22,"Low value"
13154,611.86,"Low value"
13155,971.76,"Medium value"
13157,1760.87,"High value"
13158,1201.06,"Medium value"
13159,1495.95,"Medium value"
13160,91.8,"Low value"
13161,112.75,"Low value"
13162,1731.59,"High value"
13165,1021.48,"Medium value"
13166,419.7,"Low value"
13167,791.33,"Medium value"
13168,1328.24,"Medium value"
13169,712.88,"Medium value"
13170,116.01,"Low value"
13171,510.01,"Low value"
13173,353.65,"Low value"
13174,2817.03,"High value"
13176,492.84,"Low value"
13177,282.45,"Low value"
13178,5725.47,"High value"
13182,121.18,"Low value"
13183,3957.78,"High value"
13184,1753.79,"High value"
13185,71.4,"Low value"
13186,1612.09,"Medium value"
13187,236.02,"Low value"
13188,114.6,"Low value"
13189,260.68,"Low value"
13192,911.94,"Medium value"
13193,117.88,"Low value"
13194,60.7,"Low value"
13196,1797.78,"High value"
13198,3418.39,"High value"
13199,9830.28,"High value"
13200,870.09,"Medium value"
13203,869.46,"Medium value"
13207,250.26,"Low value"
13208,1241.9,"Medium value"
13209,5963.06,"High value"
13210,353.48,"Low value"
13211,1197.42,"Medium value"
13212,795.58,"Medium value"
13213,1522.73,"Medium value"
13216,333.74,"Low value"
13217,934.34,"Medium value"
13218,62.64,"Low value"
13220,819.29,"Medium value"
13221,847.41,"Medium value"
13223,163.2,"Low value"
13224,2161.05,"High value"
13225,6844.64,"High value"
13226,108.21,"Low value"
13227,257.7,"Low value"
13228,358,"Low value"
13229,160.95,"Low value"
13230,2850.53,"High value"
13232,1357.6,"Medium value"
13233,605.12,"Low value"
13235,1960.97,"High value"
13236,762.43,"Medium value"
13238,720.63,"Medium value"
13239,329.56,"Low value"
13240,663.65,"Low value"
13242,270.4,"Low value"
13243,600.07,"Low value"
13244,121.74,"Low value"
13245,430.5,"Low value"
13246,2052.5,"High value"
13247,501.12,"Low value"
13248,465.68,"Low value"
13249,711.41,"Medium value"
13253,1030.4,"Medium value"
13255,408.36,"Low value"
13256,0,"Low value"
13258,698.58,"Medium value"
13259,292.32,"Low value"
13260,557.62,"Low value"
13261,944.1,"Medium value"
13262,200.29,"Low value"
13263,7454.07,"High value"
13265,2107.66,"High value"
13266,3950.85,"High value"
13267,4638.54,"High value"
13268,3261.74,"High value"
13269,5376.54,"High value"
13270,590,"Low value"
13271,256.5,"Low value"
13272,276.56,"Low value"
13273,138.98,"Low value"
13276,590.93,"Low value"
13277,258.4,"Low value"
13278,542.73,"Low value"
13279,149.2,"Low value"
13280,814.86,"Medium value"
13282,1216.44,"Medium value"
13283,93.66,"Low value"
13284,206.23,"Low value"
13285,2709.12,"High value"
13291,361.11,"Low value"
13292,578.94,"Low value"
13294,873.74,"Medium value"
13295,204.45,"Low value"
13296,87.4,"Low value"
13297,2089.85,"High value"
13298,360,"Low value"
13299,142.5,"Low value"
13300,378.49,"Low value"
13301,618.09,"Low value"
13302,63.75,"Low value"
13304,300.42,"Low value"
13305,2000.86,"High value"
13307,15,"Low value"
13308,1403.41,"Medium value"
13309,1456.79,"Medium value"
13310,1180.43,"Medium value"
13311,598.57,"Low value"
13313,1555.32,"Medium value"
13314,973.22,"Medium value"
13316,6139.97,"High value"
13317,2407.29,"High value"
13318,640.76,"Low value"
13319,11026.76,"High value"
13320,1605.7,"Medium value"
13321,567.36,"Low value"
13322,199.48,"Low value"
13323,787.85,"Medium value"
13324,7171.1,"High value"
13325,675.3,"Low value"
13327,3637.97,"High value"
13328,1308.48,"Medium value"
13329,837.6,"Medium value"
13330,1140.93,"Medium value"
13332,350.9,"Low value"
13334,3536.82,"High value"
13336,795.12,"Medium value"
13338,542.22,"Low value"
13339,860.12,"Medium value"
13340,10736.48,"High value"
13341,775.85,"Medium value"
13343,402.93,"Low value"
13344,2543.72,"High value"
13345,401.4,"Low value"
13347,341.36,"Low value"
13348,233.76,"Low value"
13349,247.32,"Low value"
13350,1047.52,"Medium value"
13351,373.94,"Low value"
13352,406.68,"Low value"
13354,743.53,"Medium value"
13355,674.7,"Low value"
13356,768.24,"Medium value"
13357,609.95,"Low value"
13358,439.03,"Low value"
13359,447.86,"Low value"
13362,3095.99,"High value"
13363,992.5,"Medium value"
13364,269.92,"Low value"
13365,2259.52,"High value"
13366,56.16,"Low value"
13368,623.4,"Low value"
13369,352.81,"Low value"
13370,788.42,"Medium value"
13372,378.64,"Low value"
13373,3312.25,"High value"
13375,784.4,"Medium value"
13376,1019.76,"Medium value"
13379,572.56,"Low value"
13381,3651.81,"High value"
13382,222.99,"Low value"
13384,4181.58,"High value"
13385,534.57,"Low value"
13388,727.05,"Medium value"
13389,797.96,"Medium value"
13390,544.08,"Low value"
13391,59.8,"Low value"
13394,2727.24,"High value"
13395,307.72,"Low value"
13396,1396.69,"Medium value"
13397,1549.08,"Medium value"
13398,457.34,"Low value"
13402,621.23,"Low value"
13403,75,"Low value"
13404,252.49,"Low value"
13405,572.451,"Low value"
13408,28746.67,"High value"
13410,1017.21,"Medium value"
13411,213.55,"Low value"
13414,1390.5,"Medium value"
13416,712.5,"Medium value"
13417,640.83,"Low value"
13418,6409.42,"High value"
13419,221.06,"Low value"
13420,179.35,"Low value"
13421,1853.18,"High value"
13422,2651.05,"High value"
13425,1624.21,"Medium value"
13426,3731.94,"High value"
13427,582.6,"Low value"
13428,218.47,"Low value"
13429,1006.8,"Medium value"
13430,710.21,"Medium value"
13431,1269.1,"Medium value"
13434,534.24,"Low value"
13435,3825.29,"High value"
13436,196.89,"Low value"
13437,3408.06,"High value"
13439,283.71,"Low value"
13441,296.64,"Low value"
13447,1154.05,"Medium value"
13448,3613.07,"High value"
13449,291.88,"Low value"
13450,2043.72,"High value"
13451,3035.85,"High value"
13452,590,"Low value"
13453,356.98,"Low value"
13455,1109.33,"Medium value"
13456,1795.62,"High value"
13458,9755.22,"High value"
13460,183.44,"Low value"
13461,1445,"Medium value"
13462,159.75,"Low value"
13464,674.68,"Low value"
13466,317.85,"Low value"
13467,1083.71,"Medium value"
13468,5753.19,"High value"
13470,165,"Low value"
13471,2531.58,"High value"
13473,427.74,"Low value"
13474,229.59,"Low value"
13475,1431.78,"Medium value"
13476,1384.17,"Medium value"
13477,1467.63,"Medium value"
13479,310.9,"Low value"
13481,1832.31,"High value"
13482,184.64,"Low value"
13483,140.34,"Low value"
13484,313.8,"Low value"
13485,454.24,"Low value"
13486,1122.41,"Medium value"
13487,575.4,"Low value"
13488,9026.01,"High value"
13489,449.52,"Low value"
13491,1215.82,"Medium value"
13492,1269.84,"Medium value"
13493,618.63,"Low value"
13494,316.26,"Low value"
13495,2099.62,"High value"
13496,688.73,"Medium value"
13497,375.05,"Low value"
13499,1171.26,"Medium value"
13500,1196.77,"Medium value"
13501,1370.17,"Medium value"
13502,292,"Low value"
13503,216.85,"Low value"
13504,295.93,"Low value"
13505,4504.38,"High value"
13506,464.22,"Low value"
13507,2479.16,"High value"
13508,110.97,"Low value"
13509,979.72,"Medium value"
13510,1797.96,"High value"
13512,251.21,"Low value"
13513,205.1,"Low value"
13514,152.2,"Low value"
13515,891.12,"Medium value"
13516,1389.41,"Medium value"
13517,2147.77,"High value"
13518,659.44,"Low value"
13519,134.7,"Low value"
13520,3760.95,"High value"
13521,1093.65,"Medium value"
13522,125.8,"Low value"
13523,4174.38,"High value"
13524,680.18,"Medium value"
13525,628.78,"Low value"
13527,2311.26,"High value"
13529,307.76,"Low value"
13531,483.8,"Low value"
13532,210.31,"Low value"
13533,270.79,"Low value"
13534,6127.08,"High value"
13536,3448.29,"High value"
13538,1280.85,"Medium value"
13539,656.84,"Low value"
13544,291.41,"Low value"
13546,626.99,"Low value"
13548,682.41,"Medium value"
13549,920.28,"Medium value"
13551,91.8,"Low value"
13552,3940.61,"High value"
13555,4149.28,"High value"
13557,584.06,"Low value"
13558,605.06,"Low value"
13560,174.37,"Low value"
13561,141.86,"Low value"
13562,1799.33,"High value"
13563,777.53,"Medium value"
13564,2850.3,"High value"
13565,240.22,"Low value"
13566,874.71,"Medium value"
13568,192.85,"Low value"
13569,373.75,"Low value"
13570,239.49,"Low value"
13571,2092.32,"High value"
13572,1384.25,"Medium value"
13573,294.4,"Low value"
13575,732.07,"Medium value"
13576,6731.38,"High value"
13577,1716.9,"High value"
13579,467.04,"Low value"
13581,118,"Low value"
13583,781.03,"Medium value"
13584,142.4,"Low value"
13587,1077.8,"Medium value"
13588,2512.78,"High value"
13589,379.65,"Low value"
13590,1987.72,"High value"
13591,1117.13,"Medium value"
13592,247.96,"Low value"
13593,2083.88,"High value"
13594,396.97,"Low value"
13596,697.04,"Medium value"
13598,192.92,"Low value"
13599,5276.74,"High value"
13600,219.52,"Low value"
13601,693.32,"Medium value"
13602,428.89,"Low value"
13603,164.34,"Low value"
13606,280.54,"Low value"
13607,678.01,"Medium value"
13610,1148.33,"Medium value"
13611,1185.4,"Medium value"
13614,1610.46,"Medium value"
13615,435.39,"Low value"
13617,544.18,"Low value"
13618,177.34,"Low value"
13621,213.85,"Low value"
13623,823.12,"Medium value"
13626,257.23,"Low value"
13627,1652.92,"Medium value"
13629,7792.36,"High value"
13630,2067.88,"High value"
13631,3119.07,"High value"
13632,2125.52,"High value"
13634,1575.16,"Medium value"
13635,1071.03,"Medium value"
13636,956.62,"Medium value"
13637,810.5,"Medium value"
13638,122.64,"Low value"
13639,1033.34,"Medium value"
13642,354.8,"Low value"
13643,519.44,"Low value"
13644,2651,"High value"
13645,252.1,"Low value"
13647,1686.02,"Medium value"
13649,346.6,"Low value"
13650,1863.34,"High value"
13651,94.2,"Low value"
13652,1095.08,"Medium value"
13654,2707.33,"High value"
13655,932.97,"Medium value"
13656,379.65,"Low value"
13657,382.14,"Low value"
13658,2856.87,"High value"
13659,1595.55,"Medium value"
13662,916.44,"Medium value"
13663,189.47,"Low value"
13666,84.65,"Low value"
13667,305.02,"Low value"
13668,6511.11,"High value"
13669,218.55,"Low value"
13670,349.7,"Low value"
13672,444.24,"Low value"
13673,396.92,"Low value"
13675,486.82,"Low value"
13678,232.6,"Low value"
13680,5242.53,"High value"
13681,827.83,"Medium value"
13682,59.5,"Low value"
13684,70.23,"Low value"
13685,3119.44,"High value"
13686,72,"Low value"
13689,910,"Medium value"
13690,172.25,"Low value"
13692,1509.77,"Medium value"
13693,32,"Low value"
13694,67426.14,"High value"
13695,2504.13,"High value"
13697,151.3,"Low value"
13699,308.58,"Low value"
13700,2265.12,"High value"
13703,99.5,"Low value"
13704,2320.81,"High value"
13705,711.86,"Medium value"
13706,330.79,"Low value"
13707,806.41,"Medium value"
13708,296.88,"Low value"
13709,6406.99,"High value"
13710,180.48,"Low value"
13711,252.06,"Low value"
13712,228.84,"Low value"
13715,1104.74,"Medium value"
13716,138.28,"Low value"
13717,1457.76,"Medium value"
13718,306.55,"Low value"
13719,1041.68,"Medium value"
13720,799.9,"Medium value"
13721,524.14,"Low value"
13722,2381.66,"High value"
13723,199.85,"Low value"
13725,2151.31,"High value"
13726,1079.66,"Medium value"
13727,333.48,"Low value"
13728,1016.14,"Medium value"
13730,752.6,"Medium value"
13731,610.59,"Low value"
13732,491.86,"Low value"
13735,3004.3,"High value"
13736,739.8,"Medium value"
13737,339.6,"Low value"
13739,216.9,"Low value"
13740,350.75,"Low value"
13741,670.53,"Low value"
13742,3159.62,"High value"
13743,1343.05,"Medium value"
13744,1156.36,"Medium value"
13745,308.54,"Low value"
